document_id,clean_text,sentiment
0,"Dawn is the ONLY dish soap I even consider using anymore. So-called “bargain” brands are a total waste of money as they barely make a bubble. Dawn, on the other hand, is a work horse … powering thru the gunkiest stuff left in a pot or pan.  A squirt of Dawn and fill whatever you want to clean with hot water then walk away for a few minutes (or maybe a little longer if you really made a mess of your pan) then come back and (most of the time) you can just swish your dish brush or sponge around and voila, the gunk floats away.  I also use Dawn before laundry if I have any grease on my clothes.  I don’t always remember to put an apron on (yes, I like to wear aprons and I’ve made hundreds over the years and sold them at craft fairs or gave them as gifts … oops, I got off topic … squirrel!) so sometimes I get something on my clothes and I rub a TINY drop of Dawn on the spot and throw it in the wash. It doesn’t take much!  Don’t use too much or you could create a bubble disaster.  That reminds me of a funny story. It was my turn in kitchen duty at my job.  Well, I loaded all the coffee cups, etc. into the dishwasher and discovered we were out of powdered soap (we didn’t have pods back then) so I put a little bit of liquid dish soap in the dispenser, shut the door, started the cycle and went back to work. A little while later, my supervisor went to the kitchen and let out a scream!  We went running in and the dishwasher was unloading massive quantities of bubbles!  Bubbles were everywhere! It was crazy!  So… don’t use Dawn liquid soap in your dishwasher!  Not even a little!  It’s powerful stuff. But DO use it on your pots & pans or any dishes if you don’t have a dishwasher or you just prefer to hand wash your dishes. I know there are lots of other good uses for Dawn, like cleaning greasy ducks. Just don’t use it in the dishwasher!",positive
1,"Dawn Dish Soap has truly won my heart with its exceptional qualities that make dishwashing a breeze. From its delightful scent to its incredible cleaning power, this dish soap is a must-have in every kitchen.First and foremost, the scent of Dawn is simply divine. It's not overpowering but rather a pleasant and refreshing aroma that adds a touch of joy to the dishwashing routine. The clean scent lingers on your hands and dishes, creating a welcoming atmosphere in the kitchen. It's the small details like this that make even the mundane task of dishwashing a more enjoyable experience.Speaking of enjoyment, the value this dish soap offers is outstanding. A little goes a long way, and I'm consistently amazed at how effectively this soap cuts through grease and grime with just a small amount. This means the bottle lasts for an impressively long time, making it a budget-friendly choice that doesn't compromise on quality.But it's the cleaning power of Dawn that truly sets it apart. Whether it's tackling stubborn baked-on messes or gently cleaning delicate glassware, this dish soap rises to the occasion every time. It effortlessly lifts away residue and leaves dishes sparkling clean, without any leftover greasy feeling. It's the kind of reliability you want in a dish soap, and Dawn consistently delivers.I also appreciate the versatility of Dawn beyond just dishwashing. From cleaning countertops to pre-treating laundry stains, this soap proves its worth in multiple aspects of household cleaning. It's a true multitasker that saves time and money.In conclusion, Dawn Dish Soap has rightfully earned its place as a kitchen essential in my home. With its invigorating scent, exceptional value, and remarkable cleaning performance, it's a product that consistently impresses. If you're in search of a dish soap that not only gets the job done but also adds a touch of delight to your daily chores, I wholeheartedly recommend giving Dawn a try. It's a decision you won't regret!",positive
2,"Disclaimer: I have not received any type or kind of remuneration for this review. I bought this item with my own money. This an honest opinion based on my experience with this item.I have been using Dawn for many many years. If it wasn't the best dish detergent I've used, I wouldn't still be using it. I am absolutely not brand loyal. There are only three or four brands that I buy again and again because of their effectiveness and usefulness in many applications.Dawn is one of those few. That being said when the price gets too high for me to justify the expense, I will and can buy a less expensive brand. The price of Dawn is getting close to that cut off point for me. Over the years I've stopped buying several different "" name"" brands because they started changing formulas and raising the prices so much that I refused to pay them another dime.I will still like Dawn but sadly enough say goodbye.Dawn is great for washing the pets when they get fleas, it's great for pre treating greasy stains like ring around the collar, greasy food stains, or greasy work clothes before washing. I have also used it successfully on other stains. It's great for soap scum in the bathroom sink, bathtub and shower.Anything that has grease involved the surfactants in Dawn will help dissolve the grease. So I have multitudes of uses for it. If you use is only slightly diluted it will cling to the surface of the shower walls and you can let is sit for a while to work and come back and it's much easier to scrub all the muck away. If it runs down, you've added too much water.Dilute it, add just a little with water and use it for greasy fingerprints on stainless steel. It's good for cleaning marble, and the different stone counter tops, it's acid free. I've used it to clean all kinds of things over the years.So Dawn gets 5 stars from me in every category.",positive
3,"I love Dawn dish soap because it’s ability to remove greasy. I also use it to wash my cats once in awhile to prevent fleas.The 56 oz bottle is not too big nor small. The smell is not as good as Palmolives, but bearable.It’s concentrated so a little can go a long way.The quality is nice and works so well on my greasy dishes.",positive
4,"I've done side-by-side tests of Dawn vs garage-rated grease-cutter products. Dawn is superior. I don't know how they do it, but I buy bigger and bigger bottles of the stuff so as not to run out.Unscented means ""no perfume"". You can still smell it, if that's your thing.High Longevity rating is for how long a dollop in the wash keeps washing and for the ginormous bottle.",positive
5,"To receive the absolute best Anti-disinfectant Dish detergent available in the world at a bargain price, delivered to my home and save me a lot of work and money. I gladly recommend this product to everyone whom is trying to keep their family safe and save money with every use.",positive
6,I love the brand and the mission but this product itself is great! It’s lasted us for so long and the soap smells amazing and leaves all of it it dishes and silverware very clean,positive
7,"I wanted to extend my heartfelt gratitude for your meticulous attention to detail in the chip packaging process. Your efforts in implementing additional precautions to prevent any potential leakage during transportation and handling throughout the shipment have not gone unnoticed. Your dedication to maintaining the product's integrity is truly commendable, and I genuinely appreciate your commitment to quality.I also wanted to express how much I admire and enjoy your product. Your attention to detail in packaging reflects the overall excellence and care that go into creating it. I truly appreciate the high standards you uphold, and your product has consistently exceeded my expectations.Once again, thank you for your excellent work.",positive
8,"I just had to share this amazing product with you. It's seriously a game-changer! 🚀 From its sleek design to its incredible features, it's got everything you need. Trust me, once you try it, you won't be able to imagine your life without it! 💯 So, why wait? Treat yourself and take the plunge. You won't regret it! 😄",positive
9,Family of 5 and these 2 large bottles are going to be great for us to make it through the next few months of washing dishes. Great value.,positive
